The output is formatted as follows: 
pindex   time    deltaT    dlambda   trial  simp38   simp   trap 
60 500000 0.1 0.1 3 1.61778 1.61022 1.67071
60 500000 0.1 0.1 4 1.61778 1.61022 1.67071

61 500000 0.05 0.1 0 1.46609 1.45784 1.51749
61 500000 0.05 0.1 1 1.46609 1.45784 1.51749
61 500000 0.05 0.1 2 1.46609 1.45784 1.51749
61 500000 0.05 0.1 3 1.46609 1.45784 1.51749
61 500000 0.05 0.1 4 1.46609 1.45784 1.51749

62 500000 0.02 0.1 0 1.42073 1.41263 1.47224
62 500000 0.02 0.1 1 1.42073 1.41263 1.47224
62 500000 0.02 0.1 2 1.42073 1.41263 1.47224
62 500000 0.02 0.1 3 1.42073 1.41263 1.47224
62 500000 0.02 0.1 4 1.42073 1.41263 1.47224

63 500000 0.01 0.1 0 1.41264 1.40305 1.46503
63 500000 0.01 0.1 1 1.41264 1.40305 1.46503
63 500000 0.01 0.1 2 1.41264 1.40305 1.46503
63 500000 0.01 0.1 3 1.41264 1.40305 1.46503
63 500000 0.01 0.1 4 1.41264 1.40305 1.46503

64 500000 0.005 0.1 0 1.41876 1.41286 1.47144
64 500000 0.005 0.1 1 1.41876 1.41286 1.47144
64 500000 0.005 0.1 2 1.41876 1.41286 1.47144
64 500000 0.005 0.1 3 1.41876 1.41286 1.47144
64 500000 0.005 0.1 4 1.41876 1.41286 1.47144

65 500000 0.1 0.05 0 1.5956 1.59491 1.61349
65 500000 0.1 0.05 1 1.5956 1.59491 1.61349
65 500000 0.1 0.05 2 1.5956 1.59491 1.61349
65 500000 0.1 0.05 3 1.5956 1.59491 1.61349
65 500000 0.1 0.05 4 1.5956 1.59491 1.61349

66 500000 0.05 0.05 0 1.43452 1.43208 1.45234
66 500000 0.05 0.05 1 1.43452 1.43208 1.45234
66 500000 0.05 0.05 2 1.43452 1.43208 1.45234
66 500000 0.05 0.05 3 1.43452 1.43208 1.45234
66 500000 0.05 0.05 4 1.43452 1.43208 1.45234

67 500000 0.02 0.05 0 1.39782 1.3969 1.41516
67 500000 0.02 0.05 1 1.39782 1.3969 1.41516
67 500000 0.02 0.05 2 1.39782 1.3969 1.41516
67 500000 0.02 0.05 3 1.39782 1.3969 1.41516
67 500000 0.02 0.05 4 1.39782 1.3969 1.41516

68 500000 0.01 0.05 0 1.38719 1.38476 1.40529
68 500000 0.01 0.05 1 1.38719 1.38476 1.40529
68 500000 0.01 0.05 2 1.38719 1.38476 1.40529
68 500000 0.01 0.05 3 1.38719 1.38476 1.40529
68 500000 0.01 0.05 4 1.38719 1.38476 1.40529

69 500000 0.005 0.05 0 1.38875 1.3883 1.40666
69 500000 0.005 0.05 1 1.38875 1.3883 1.40666
